start_time,mean,std,rms,peak,p2p,crest,skew,kurtosis,zcr,energy,spec_centroid,spec_bandwidth,dom_freq,rolloff,flatness,total_power,eb_0_100,eb_100_500,eb_500_1000,eb_1000_2000,eb_2000_5000
0.0,-0.10779590536322002,0.2052366151581488,0.23182326331636857,0.7082054526928953,1.1928552399338637,3.054936948770988,0.05459826360285836,0.2978491570632311,133,53.742025414650364,3591.63304081493,893.7524035410171,3900.0,3950.0,3.683451699522411e-08,7632.4797294674845,45.68434059792975,208.37006221731187,100.80672175905795,290.2668153340886,6953.902238670731
0.01,-0.04629765464007485,0.19771981321215035,0.20306796242100636,0.6548115887849872,1.1848503909897539,3.2245932887443285,0.08645754998761329,0.3201647920560733,138,41.23659736181926,3457.8411454126035,1098.3157761534844,3900.0,3950.0,4.275322856021899e-08,6800.696733775455,196.85136668978157,240.70322424548408,55.13927829561539,287.4601010519075,5968.298300112587
0.02,-0.0013109670849805201,0.19217865437669843,0.1921831257752262,0.5776177488758848,1.1379428657824757,3.0055591329514026,0.06195227649998045,0.409628196280277,144,36.93435383273642,3533.6547593592873,948.9764988797039,3900.0,3950.0,3.74706605081427e-08,6728.240978328778,40.01119132120397,258.8276373265328,69.6618986638576,188.6476352010023,6141.810921954015
0.03,0.018584047131047852,0.19486016792024433,0.19574435330214465,0.5776177488758848,1.1379428657824757,2.950878220131039,-0.009344216903740864,0.3841186324754866,142,38.31585184967483,3481.9665217420643,1020.5296222713652,3900.0,3950.0,4.012074757399817e-08,6987.380321295383,65.85638884877514,271.05713195562697,148.16152540481383,227.50342668926652,6237.325319583726
0.04,0.023787254179967438,0.19467025141025898,0.19611817928370592,0.5910564987367041,1.1525677361336886,3.013777207663466,0.007926804696293891,0.32589366836734035,142,38.46234024555582,3592.1472086348704,904.9218140409025,3900.0,3950.0,3.46137840346873e-08,7082.218149278276,42.54640836876232,245.1202116421088,57.52151387265563,168.2667677443002,6539.344239150865
0.05,0.016367939834430925,0.1951699615349994,0.19585510802630776,0.5910564987367041,1.1525677361336886,3.017825292839919,-0.04669561794946525,0.33354756112432904,146,38.35922333999669,3507.9870942132284,1018.410786394526,3900.0,3950.0,3.5654141911718827e-08,7117.080952037599,54.28450710626938,333.89059801252245,113.04304486777667,182.37160181286362,6409.157396436954
0.06,0.00938174729307915,0.19705798110315875,0.19728118282979767,0.5729943110928353,1.1260083274433637,2.9044549656024508,-0.0693943261593579,0.3542299530089825,150,38.91986509872406,3541.373266938875,959.8028139895737,3900.0,3950.0,3.504422982924496e-08,6717.650465555492,41.97244822404926,271.7137550555571,53.26446520779485,217.32038689305435,6105.0790889845775
0.07,-0.000678867768675117,0.19620115534577304,0.19620232980386218,0.5729943110928353,1.1260083274433637,2.920425622176458,-0.023178403104199042,0.32811370884535673,151,38.495354220463504,3517.2145630052905,1007.072952530698,3900.0,3950.0,3.540971398538972e-08,6913.210517349686,65.36872579827379,267.90211618357586,91.40181630777568,255.7781860741628,6203.020671761817
0.08,-0.003035864440756167,0.19010345874754256,0.1901276978787711,0.5584740648781785,1.0946406110033167,2.9373629992161083,0.022966729641504837,0.284926322060401,150,36.14854150068126,3507.2029987454093,994.303125033492,3900.0,3950.0,3.436697651889602e-08,6290.579515545728,41.058504281153034,297.1508821371825,48.50939471984432,179.89558444519415,5688.937343210934
0.09,-0.008687415404726465,0.19261804886640344,0.1928138582558693,0.5769004121694572,1.1464952023910784,2.9920069925726107,0.005526455753006234,0.3134272476827644,147,37.17718393551446,3488.2496600998984,958.1618233624034,3900.0,3950.0,4.030604323371993e-08,6539.659467289144,53.03388884422488,197.28518346148496,44.059526560915884,317.9193249527224,5900.248973281783
0.1,-0.005440291791464332,0.19200310901427864,0.19208016723734192,0.5769004121694572,1.1464952023910784,3.003435599124675,-0.03449724330245386,0.4115701917852199,146,36.89479064592524,3490.552629936392,1018.9209725254887,3900.0,3950.0,3.824352923504368e-08,6521.891233796288,38.1433253857611,299.62637345963805,93.88841184881758,199.18521260929202,5847.826435713876
