start_time,mean,std,rms,peak,p2p,crest,skew,kurtosis,zcr,energy,spec_centroid,spec_bandwidth,dom_freq,rolloff,flatness,total_power,eb_0_100,eb_100_500,eb_500_1000,eb_1000_2000,eb_2000_5000
0.0,-5.0179314087347064,28.20936223433981,28.652185837924538,199.66682888483763,243.41620990447223,6.968642113878381,-3.52453561173827,15.634814454622724,56,820947.7532909635,2035.5571337181825,1364.09892019845,850.0,3600.0,1.8023271002705545e-08,225624615.8006842,2350909.7064359454,27652403.4345842,42912280.693961546,43672507.56844832,106275948.81016971
0.01,-3.336862885128442,35.05974065350842,35.21817809889402,258.4727559053811,302.2221369250157,7.339185893704443,-3.278273799286064,14.549376073283572,61,1240320.0686054185,2136.637723892635,1413.078481302017,650.0,4000.0,1.9485515107276217e-08,159847889.0795973,901609.1865823109,15597739.110033844,27092278.94942675,38725367.1094483,74783077.28828047
0.02,3.3955659537888696,37.050602314329744,37.205873192295144,258.4727559053811,301.9612940764033,6.9470955450899226,-3.0322576108605697,12.135873103838048,61,1384277.0000011465,2157.2131474995163,1306.2276008138033,950.0,3650.0,1.3190354504974442e-08,248173052.42629588,1793745.7271378736,11082992.463034008,51095777.2771519,68097277.13322659,113288666.80183882
0.03,4.384609275048666,43.07189312708672,43.29448898007716,194.94283257100736,259.97433148147763,4.502717023885182,-1.9585625889242648,3.4739332012486015,65,1874412.776046023,2402.3801244330425,1429.33302037475,2500.0,4300.0,2.9635431891606132e-08,311427939.2680471,7096269.345929461,23393620.450519025,31252104.851063393,71210638.80876468,171769765.12946668
0.04,2.6097127514998455,55.177557509941764,55.23923834927733,262.17117495548575,336.79797829927804,4.746104088144272,-1.6966251815811313,2.529105613630067,73,3051373.4534082715,2227.879982910103,1298.1074145663576,2200.0,3850.0,1.5446646160431083e-08,508669512.88490283,9645246.826075725,40698037.5864952,35004040.839453526,148889146.48168635,264790929.55280858
0.05,5.765606023442506,61.698134869397215,61.966943277685445,262.17117495548575,344.992836776839,4.230823098383981,-1.8340813992583849,3.0212409206875623,72,3839902.0591798853,2009.626746601081,1430.1238944910028,200.0,3850.0,2.0848229486062504e-08,1072694688.4517962,74565437.27282569,143508741.2317499,97145556.94518918,208786102.71991336,528732604.3762338
0.06,3.5755916748588827,72.1777624313396,72.26627322216235,440.49001758383145,533.8098367043107,6.095374757041402,-2.250456621727417,6.188720268751931,71,5222414.245420219,1755.7574031627512,1330.964982526719,2650.0,3150.0,3.161340420069635e-08,877174894.2020361,50175794.91123663,178524742.46921957,109833132.24433346,113568095.41919516,413707386.2696818
0.07,-20.64890769412613,95.98185676969707,98.1778703064962,442.44716835413374,540.2040689523047,4.506587553517685,-1.8683331673957886,3.6060843135562903,78,9638894.21791919,1563.5498149006287,1374.9794043058903,300.0,3300.0,2.40838091002447e-08,1097650391.7018552,59578766.53243372,259776802.61307326,207199689.08296153,191099809.34541923,358389152.6275706
0.08,-13.376274230334674,87.48216763517318,88.49889471871192,442.44716835413374,540.2040689523047,4.999465470844791,-2.071830050468708,4.828856950871025,76,7832054.366433658,1373.1492764963666,1300.6549283700458,50.0,2800.0,2.5193304069075875e-08,1886753676.5732336,207944316.60812622,435818288.5004249,321461847.42434657,443390143.0799678,460503878.12957287
0.09,7.320889809157037,55.608154033257456,56.08798643724258,302.88873299896557,376.60491056822906,5.4002425873830475,-1.9640781582088551,4.55232994667529,72,3145862.222584307,2074.5742655857484,1488.1766981679018,800.0,3900.0,3.25017971960888e-08,402653868.3548421,12881033.464452598,61044086.73161988,52412500.45513435,84284658.76255472,181204004.59070584
0.1,2.9023848619017167,55.11383451721436,55.190203778184085,305.49590572653614,379.21208329579963,5.535328460723837,-2.3573786082343977,6.7305527348947916,63,3045958.5930774845,2161.187222534199,1377.3643674565594,1400.0,3850.0,2.3148097798546033e-08,762120992.7596456,32964094.287982315,55042735.647505954,60695108.582301825,220053692.47529468,375016769.56022894
0.11,9.112177014395163,36.05888614582617,37.192405676687905,305.49590572653614,357.93170178963396,8.213932392063896,-3.785613680620847,20.428839135101146,48,1383275.0400193266,1591.1550846066452,1644.423304137738,50.0,3850.0,3.721457194229115e-08,119725244.51447733,22638370.385495212,22276389.323261328,12165610.323180338,24751163.20404722,33948380.3361096
0.12,8.505448729124232,21.912981105724494,23.50577373803295,180.63069066559453,221.85675139299292,7.684524350428921,-3.8050297241416846,20.29295627777748,49,552521.3990235996,2290.3234072552327,1607.0568060573532,50.0,4200.0,3.9652337989556876e-08,133188260.95283084,7433650.515523457,12033504.6961613,20740112.09955018,24872974.64511265,64921736.07320497
0.13,2.810692312368503,23.971999124015042,24.136212073906403,180.63069066559453,221.85675139299292,7.483804422685962,-3.242659438351753,13.662356666073027,60,582556.7332765853,2178.2368248343446,1510.9015130156804,50.0,3900.0,4.5259954761092516e-08,57240488.3136306,3648248.477089409,5816061.337680405,5129649.496715012,14158025.043440316,26764490.96393078
0.14,-4.133444949299989,29.601864264300442,29.88905711244437,184.06520069119438,217.81523025460356,6.1582806041262605,-2.729290557380696,8.941931171792211,84,893355.7350709613,2154.326584851232,1399.7912106600652,1200.0,3800.0,5.191013519214491e-08,213985176.59417507,4084842.8859532233,15689001.66784471,31758521.382106375,62451214.11805989,93457577.46281761
0.15,-6.1489553349329595,35.24748297410667,35.779808659646854,229.0229369737973,262.77296653720646,6.4008988743443815,-2.6734689471649045,8.749580423128075,78,1280194.70772094,2186.1846324264748,1347.3908106489687,1200.0,3550.0,1.937725570759415e-08,274128523.1021076,370585.5786628437,35115029.227822036,20470905.541331504,86044172.49024153,127948335.76966746
