start_time,mean,std,rms,peak,p2p,crest,skew,kurtosis,zcr,energy,spec_centroid,spec_bandwidth,dom_freq,rolloff,flatness,total_power,eb_0_100,eb_100_500,eb_500_1000,eb_1000_2000,eb_2000_5000
0.0,-61.12758481915424,58.721563202148,84.76322086097694,420.59068057335554,466.78759631759897,4.961947838947458,-1.8211173990371305,5.428930010438599,28,7184803.610726758,2167.0946982778487,1454.5519691115105,50.0,3800.0,6.698338502566199e-08,501422951.1311718,30780334.699662283,49094147.6007479,58164565.6228998,102872994.86590762,247201572.7740817
0.01,-26.828409100470758,61.37210159284126,66.97983568794605,316.68161941954475,388.06130846589247,4.728014277236146,-1.759386665686899,3.788149009488251,75,4486298.388784251,2266.427748013972,1381.5271760629482,150.0,3950.0,2.2670151049498897e-08,646858416.1168602,18132733.77074948,55747403.948287345,50150833.971124314,191038600.6806017,320807877.9149056
0.02,-5.193507692013279,72.31666067399124,72.50290982563521,315.9754609352197,409.4689028847595,4.358107304867016,-1.7554965668882334,3.0375870064908366,80,5256671.933184192,2048.5181366886736,1331.039114527741,2250.0,3500.0,3.815866538831853e-08,1266314790.0080447,16067609.996581152,157923002.887784,227730261.21775568,200110983.92471692,649979513.5805494
0.03,1.5402724386354334,77.9428320845855,77.95804969694349,296.2988339579868,413.1339845631462,3.8007471340012247,-1.37051560370143,1.3597407007921092,76,6077457.51255111,2189.848750403567,1293.292431188856,150.0,3300.0,2.9202404616533546e-08,1150564524.1285074,1623989.4042361558,173728831.6389258,128133178.95729855,117008070.7232528,707102422.421859
0.04,10.030494863643584,77.81562363362252,78.45942969904365,421.0170640599849,540.4960535250761,5.366047977597157,-1.5087430271391356,3.022557534509823,90,6155882.108699173,1922.9579255532296,1321.4327709730774,750.0,3300.0,6.898470138370774e-08,1063991916.6577921,13383578.57964037,118127189.21921986,238488613.06364092,209295854.37778455,463040380.0258527
0.05,21.537283401670784,77.50059120352137,80.437529880145,421.0170640599849,540.4960535250761,5.234087430174836,-1.9232024603601217,5.285863383014032,90,6470196.213219219,1927.8360466902445,1483.1284559941957,150.0,3900.0,2.2876633774483823e-08,1569264298.9147608,5708414.1601046715,278266734.66203606,271602856.68137926,350721748.583481,639051763.7243614
0.06,3.2751296254203264,97.19736622697738,97.25252940424978,428.5794493663024,550.8649732638296,4.406872006226398,-1.5692373145855756,2.5614067385132406,89,9458054.475524468,1978.7906579333335,1614.6573675975117,250.0,3800.0,5.146308872112307e-08,1630859924.1314137,52440996.43000662,412450579.6499808,160192949.40822446,281056043.8209961,693660387.912185
0.07,-3.5439402882409667,104.26294928843971,104.32316189174084,428.5794493663024,550.8649732638296,4.108190756440527,-1.5660300383473935,2.4491215067492726,84,10883322.107090369,2016.484976847378,1340.9759549294715,550.0,3400.0,2.579864243431947e-08,1837653888.772663,36349725.121047564,119949416.90940094,397814470.5588907,414379382.9694014,832368379.8254237
0.08,6.78322911599611,103.90494982676326,104.1261292651479,421.1397043936536,548.3329785330496,4.044515121860094,-1.7313028991973352,2.839125984855862,68,10842250.795742288,1601.37561744589,1374.2083687446698,100.0,3500.0,2.11885294931321e-08,1874317713.590612,32110573.655460436,439025442.9065443,437543743.9714842,300933174.92790157,650707019.4830782
0.09,1.140496208022253,105.26283810374309,105.2690164163005,418.7523451557808,563.5290518281704,3.9779258837164804,-1.3650730974837775,1.502578155853218,73,11081565.817255344,1670.127750929288,1333.7326086250432,350.0,3250.0,2.2036881287727503e-08,2445924571.287219,18843010.759655207,521673877.33755153,549265768.2556002,486573298.570962,845217085.3732678
