start_time,mean,std,rms,peak,p2p,crest,skew,kurtosis,zcr,energy,spec_centroid,spec_bandwidth,dom_freq,rolloff,flatness,total_power,eb_0_100,eb_100_500,eb_500_1000,eb_1000_2000,eb_2000_5000
0.0,-57.682408130659475,104.02519543664906,118.94747367382378,534.2449777634398,658.1487429729676,4.491436104212141,-0.9477686089845051,0.9726505500723404,81,14148501.493385,1906.7827941134417,1478.8943387396166,1250.0,3750.0,2.0625887541991954e-08,2363480327.964674,18988319.554137226,381679114.4074092,367311088.32708955,691403366.3909165,837498686.0327436
0.01,-23.400391967830608,98.15181738976813,100.90271354707217,312.34345464025347,453.7099709215641,3.0954911286358904,-0.805442987589228,0.01222641974630534,96,10181357.6011625,1495.9315296098707,1397.495139475089,150.0,3100.0,2.4959787648279394e-08,1846627281.0906518,91538759.94804674,620113080.5812536,195163329.78410533,293427721.5110803,614510221.1072334
0.02,6.00243144996116,90.67399152425344,90.8724486423243,286.92170506768923,457.46299879560263,3.1574113975624827,-0.720395621919346,-0.052975445050342795,94,8257801.922251866,2091.0527909354787,1489.6675860270243,50.0,3700.0,2.451274863086956e-08,1885898322.24613,138530016.34127313,242501942.9579914,143103835.05531147,463757251.6000223,859054464.4757023
0.03,14.490047363723235,93.3079088559533,94.42630633289556,286.92170506768923,457.46299879560263,3.038578084968791,-0.6051623314116324,-0.22356165059474353,83,8916327.327673832,2070.550257883554,1379.1617532741545,250.0,3550.0,3.999757224961746e-08,1384005031.3360913,30278552.529910207,142991778.10903755,162190066.50534496,374671374.53121424,640623726.7180556
0.04,11.999259441501497,110.57797926297637,111.22711775923932,425.5890631280411,624.9027791219313,3.826306675043594,-1.0398877747870006,0.9829450217552229,72,12371471.725027692,1943.8244053697938,1437.3756949512267,150.0,3700.0,2.4396387099367817e-08,2450267614.363335,9943106.434413264,413807115.6685967,436393048.1488292,457363657.7847379,1098107646.6750474
0.05,12.620808881083711,110.56120158388093,111.27921689374165,425.5890631280411,624.9027791219313,3.824515259973693,-0.9812356839169708,0.935756778373741,77,12383064.112484397,1816.845504900731,1301.5164603074402,200.0,3250.0,2.6980911302229482e-08,2256627256.1707253,3759196.535018564,526646789.8606758,247446069.14297995,468900466.56756914,985968014.2942258
0.06,0.5623978790785095,102.50827141093966,102.50981415958796,290.51615803960647,494.0054273711858,2.83403262820598,-0.4750021972463941,-0.3109757793168537,92,10508261.999033261,2111.0832153446104,1365.1147156974037,150.0,3700.0,5.058802150894117e-08,2052440387.8085153,58859874.87801646,254969302.3659981,154973687.17301792,497982781.88524294,1033604219.2667849
0.07,-14.936577439618743,113.62939345184998,114.60689508858118,344.01957579882185,547.5088451304011,3.0017354150718556,-0.5159571488113792,-0.2937616557498508,89,13134740.401845055,2340.194733785355,1377.388342064657,2650.0,3900.0,4.5682881685734804e-08,1978460491.02377,40678567.007883035,156916706.8150688,180490827.25935453,458168818.02196056,1104255993.1033084
0.08,7.17849282989743,118.04059762229878,118.25867175957261,373.45406461685,580.9819176715122,3.157942323046742,-0.6806167998638794,-0.11707098324309717,81,13985113.446338337,1778.2072814061103,1414.3631879475217,100.0,3450.0,2.138083438529216e-08,2619687928.3128767,168736862.2829291,441508194.63480115,460363589.052368,432065040.74322486,1085290510.7323947
0.09,6.294904904381393,115.9338962736012,116.10466886793714,389.16118047555375,596.689033530216,3.351813361771011,-0.7330028297126278,0.1296995803697878,88,13480294.13293333,1779.504574239015,1441.4365738007275,150.0,3500.0,3.982269000262526e-08,2668279177.5268383,113471930.57668132,621392780.0824994,329872004.5080648,460858608.88359535,1102152365.5559194
0.1,-13.84944890818148,122.13049206482145,122.91323902271773,413.86594186322804,612.099126282918,3.367138846505631,-0.7459295247004445,0.13804773128161063,89,15107664.327055741,1947.341274065163,1364.974849578834,100.0,3550.0,3.524790354782639e-08,2931065242.0566044,6390890.338836769,499478374.44766116,432558287.1491765,648779074.5713084,1305312564.895224
